"number","opened_at","caller_id","short_description","priority","state","assignment_group","assigned_to","sys_updated_on","close_notes"
"INC0158525","2025-06-30 03:49:33","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 04:11:15","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
"INC0158595","2025-06-30 08:21:37","Guna Sekhar (C)","Error While Deleting VM Extension 'vm-iface-' Servers | Troubleshoot Issue in Azure","3 - Moderate","Resolved","CDNA Stratogent","Pompa Reddy (C)","2025-06-30 12:19:38","Validated both OTTR internal & customer environments; the Qualys extension from Azure is already removed along with the agent.
This includes vm-iface-** and vm-rprt-** servers."
"INC0158524","2025-06-30 03:39:50","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 03:50:44","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
"INC0158635","2025-06-30 11:35:30","Rey Mandapat","Request to Create and Maintain No-Access Server Log for Patch","3 - Moderate","Resolved","CDNA Stratogent","Pasapula Dinesh (C)","2025-07-01 17:43:56","Document has been prepared, and as update from Rey ""whoever would be doing the updates and taking control for the pre and post updates activities to go VERIFY against this list and skip unnecessary trying to access the servers.""

Moving ticket to closure.
"
"INC0158523","2025-06-30 03:38:24","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 03:50:11","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
"INC0158521","2025-06-30 03:30:37","SolarWinds ","Alert for TTP Louisiana - APs went down","3 - Moderate","Resolved","CDNA Stratogent Network","Ravi Kiran (C)","2025-07-01 02:01:15","The issue was due to Incompatibility between the client and access point. Now the AP is Up and running as expected."
"INC0158522","2025-06-30 03:37:10","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 03:49:42","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
"INC0158520","2025-06-30 03:31:16","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 03:49:05","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
"INC0158668","2025-06-30 15:00:43","SolarWinds ","Critical: ALERT: brisbiophys-ssh01 rebooted at 6/30/2025 2:58:00 PM","3 - Moderate","Resolved","CDNA Stratogent","Pasapula Dinesh (C)","2025-06-30 15:03:48","As informed by the customer, brisbiophys-ssh01 has rebooted.

Reducing the priority to P3.

Closing the ticket."
"INC0157652","2025-06-19 07:17:30","SolarWinds ","Critical : Open : Node ""SSP Lab Switch"" IP ""192.168.23.9"" is ""Down""  Alert description: Node ""SSP Lab Switch""  IP ""192.168.23.9""  is DownAlert Generated ti","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:03","Resolution notes copied from Parent Incident: All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident.
Incident 'INC0157652' closed based on closure of task 'INC0157651'

All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157680","2025-06-19 23:42:20","SolarWinds ","Critical: Open - Application ""Windows Server 2003-2012 Services and Counters"" on ""Jaws"" is currently CriticalThe application Windows Server 2003-2012 Services","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-22 01:00:02","Upon verifying the URL in SolarWinds, we found that Application Windows Server 2003-2012 Services and Counters"" on ""Jaws""  is up and running fine.
All the application and services up and running fine .
No further action required.
Since the alert is also cleared, we are good to close the ticket."
"INC0157687","2025-06-20 05:03:57","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf11-acc-ms250-01 is 50 %.Average Response time is 170 ms and is varying from 170 ms to 171 ms.","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:02","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157688","2025-06-20 05:04:02","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf11-acc-ms250-02 is 50 %.Average Response time is 168 ms and is varying from 168 ms to 168 ms.","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:06","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA

Incident 'INC0157688' closed based on closure of task 'INC0157705'

Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157649","2025-06-19 07:14:46","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility || prd-lims-svc1","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-21 08:00:01","We received an availability alert for the virtual machine prd-lims-svc1.
Upon reviewing the Azure Resource Health logs, the VM has consistently shown as ""Available"" before and after the event, with no current issues reported. The server is currently up and running as expected.
We will proceed with closing the ticket for now. 
"
"INC0157678","2025-06-19 21:12:14","SolarWinds ","Critical: Open - Application ""Windows Server 2016 Services and Counters"" on ""Jaws"" is currently CriticalThe application Windows Server 2016 Services and Count","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-22 01:00:01","Upon verifying the URL in SolarWinds, we found that Application ""Windows Server 2016 Services and Counters"" on ""Jaws""   is up and running fine.
All the application and services up and running fine .
No further action required.
Since the alert is also cleared, we are good to close the ticket."
"INC0157667","2025-06-19 14:05:54","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability_azie-bioseq01","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-21 15:00:00","Upon validation the server has not reboot and the availability alert was due to discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.

Where the metric shows a downtime, but Resource Health showing ""Available"" status, potentially triggering an alert.

This could happen due to temporary issues within the Azure monitoring or network latency, no further action required hence marking the ticket for closure."
"INC0157665","2025-06-19 12:02:07","SolarWinds ","Critical: Open - Application ""Windows Server 2003-2012 Services and Counters"" on ""Prometheus2"" is currently WarningThe application Windows Server 2003-2012 Se","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-21 13:00:00","Upon checking  Application ""Windows Server 2003-2012 Services and Counters"" on ""Prometheus2"" is Up and Running fine.
Logical Disk: Avg. Disk Queue Length(UP)
Physical Disk: Avg. Disk Queue Length(UP)
"
"INC0157663","2025-06-19 10:24:47","SolarWinds ","Critical: Open - Application ""CareDx_Application_Monitor"" on ""vcenter01"" is currently Down","5 - Planning","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-21 12:00:01","Hi Team,

Upon checking, Application_Monitor on vcenter01 (10.125.143.10) is Up

we found that the application and services are running properly.

ClarityLIMS (UP)

Therefore, we are closing this ticket.

Thanks & Regards 
sanjay s"
"INC0157650","2025-06-19 07:15:53","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability - vm-sdwan-ecv-prod-02","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-21 08:00:00","We received an availability alert for the virtual machine vm-sdwan-ecv-prod-02 .
Upon reviewing the Azure Resource Health logs, the VM has consistently shown as ""Available"" before and after the event, with no current issues reported. The server is currently up and running as expected.
We will proceed with closing the ticket for now
"
"INC0157653","2025-06-19 07:17:34","SolarWinds ","Critical : Open : Node ""Warehouse Switch"" IP ""192.168.23.10"" is ""Down""  Alert description: Node ""Warehouse Switch""  IP ""192.168.23.10""  is DownAlert Genera","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:02","Resolution notes copied from Parent Incident: All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident.
Incident 'INC0157653' closed based on closure of task 'INC0157651'

All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157651","2025-06-19 07:17:26","SolarWinds ","Critical : Open : Node ""Instrument Room Switch"" IP ""192.168.23.11"" is ""Down""  Alert description: Node ""Instrument Room Switch""  IP ""192.168.23.11""  is Down","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:00","All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157689","2025-06-20 05:04:05","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf21-acc-ms250-02 is 60 %.Average Response time is 169 ms and is varying from 169 ms to 171 ms.","5 - Planning","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-29 11:00:02","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds.
"
"INC0157690","2025-06-20 05:04:09","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf01-acc-cms250-02 is 70 %.Average Response time is 175 ms and is varying from 168 ms to 183 ms.","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 11:00:02","Resolution notes copied from Parent Incident: As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds."
"INC0157691","2025-06-20 05:04:13","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf01-acc-cms250-01 is 60 %.Average Response time is 167 ms and is varying from 167 ms to 168 ms.","5 - Planning","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-29 11:00:03","
As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds."
"INC0157708","2025-06-20 05:15:31","SolarWinds ","Critical : Open : volume 'Diane-J:\ Label:BackupESX2 E451CC8F ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred at","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 16:00:00","Following John's troubleshooting, the alerts have cleared and the devices are now back under monitoring in SolarWinds.

No further action is required at this time.

Proceeding to close the ticket."
"INC0157707","2025-06-20 05:15:27","SolarWinds ","Critical : Open : volume 'Diane-K:\ Label:BackupNAS 06807C29 ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred at","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 16:00:02","Following John's troubleshooting, the alerts have cleared and the devices are now back under monitoring in SolarWinds.

No further action is required at this time.

Proceeding to close the ticket."
"INC0157706","2025-06-20 05:15:23","SolarWinds ","Critical : Open : volume 'Diane-H:\ Label:BackupPhysical D0E3A56E ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurre","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 16:00:03","Following John's troubleshooting, the alerts have cleared, and the devices are now back under monitoring in SolarWinds.

No further action is required at this time.

Proceeding to close the ticket."
"INC0157705","2025-06-20 05:15:19","SolarWinds ","Critical : Open : volume 'Diane-F:\ Label:NAS4 Restore 528747A3 ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:03","Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157703","2025-06-20 05:15:10","SolarWinds ","Critical : Open : volume 'Diane-C:\ Label: 82CE9617 ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred at Friday,","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 16:00:03","Following John's troubleshooting, the alerts have cleared and the devices are now back under monitoring in SolarWinds.

No further action is required at this time.

Proceeding to close the ticket."
"INC0157702","2025-06-20 05:15:06","SolarWinds ","Critical : Open : volume 'STO-ODIN-C:\ Label: 9C88FF3E ' on Node 'STO-ODIN' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred at Fr","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:06","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA

Incident 'INC0157702' closed based on closure of task 'INC0157705'

Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157700","2025-06-20 05:07:03","SolarWinds ","Critical : Open : Node ""stk-mdf21-acc-ms250-01"" IP ""192.168.13.144"" is ""Down""  Alert description: Node ""stk-mdf21-acc-ms250-01""  IP ""192.168.13.144""  is Down","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 10:00:02","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds.
"
"INC0157699","2025-06-20 05:06:58","SolarWinds ","Critical : Open : Node ""stk-mdf11-sdn-ecxs-01"" IP ""192.168.100.2"" is ""Down""  Alert description: Node ""stk-mdf11-sdn-ecxs-01""  IP ""192.168.100.2""  is DownAl","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 11:00:02","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds.
"
"INC0157698","2025-06-20 05:06:05","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf11-sdn-ecxs-01 is 60 %.Average Response time is 163 ms and is varying from 163 ms to 164 ms.","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 11:00:03","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds.
"
"INC0157697","2025-06-20 05:06:01","SolarWinds ","Critical: Open: ALERT: Current packet loss for stk-mdf21-acc-ms250-01 is 70 %.Average Response time is 168 ms and is varying from 168 ms to 168 ms.","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:01","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157696","2025-06-20 05:05:27","SolarWinds ","Critical : Open : Node ""stk-mdf01-acc-cms250-02"" IP ""192.168.13.121"" is ""Down""  Alert description: Node ""stk-mdf01-acc-cms250-02""  IP ""192.168.13.121""  is Dow","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 11:00:02","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds."
"INC0157695","2025-06-20 05:05:22","SolarWinds ","Critical : Open : Node ""stk-mdf21-acc-ms250-02"" IP ""192.168.13.143"" is ""Down""  Alert description: Node ""stk-mdf21-acc-ms250-02""  IP ""192.168.13.143""  is Down","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:05","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA

Incident 'INC0157695' closed based on closure of task 'INC0157705'

Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157704","2025-06-20 05:15:15","SolarWinds ","Critical : Open : volume 'Diane-E:\ Label:BackupESX3 D875A36F ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred at","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:07","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA

Incident 'INC0157704' closed based on closure of task 'INC0157705'

Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157694","2025-06-20 05:05:18","SolarWinds ","Critical : Open : Node ""stk-mdf11-acc-ms250-02"" IP ""192.168.13.128"" is ""Down""  Alert description: Node ""stk-mdf11-acc-ms250-02""  IP ""192.168.13.128""  is Down","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 11:00:01","As update from John fixed the azure <> onprem routing issue. Looks like most everything came online.

Able to ping the node without any ping loss and is up from the solarwinds.
"
"INC0157693","2025-06-20 05:05:14","SolarWinds ","Critical : Open : Node ""stk-mdf11-acc-ms250-01"" IP ""192.168.13.120"" is ""Down""  Alert description: Node ""stk-mdf11-acc-ms250-01""  IP ""192.168.13.120""  is Down","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:06","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA

Incident 'INC0157693' closed based on closure of task 'INC0157705'

Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157692","2025-06-20 05:05:10","SolarWinds ","Critical: Open: ALERT: Current packet loss for Sweden1120B-FTD is 80 %.Average Response time is 172 ms and is varying from 169 ms to 176 ms.","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 12:00:01","As update from the John node Sweden1120B-FTD has been decommissioned no further action required, hence moving ticket to closure.
"
"INC0157709","2025-06-20 05:15:35","SolarWinds ","Critical : Open : volume 'Diane-L:\ Label:BackupVienna 928D565C ' on Node 'Diane' is in 'Unreachable ' stateAn issue on an object you are monitoring occurred","5 - Planning","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 16:00:02","Following John's troubleshooting, the alerts have cleared and the devices are now back under monitoring in SolarWinds.

No further action is required at this time.

Proceeding to close the ticket."
"INC0157648","2025-06-19 07:12:10","SolarWinds ","Critical: Open: ALERT: Current packet loss for Warehouse Switch is 60 %.Average Response time is 168 ms and is varying from 168 ms to 169 ms.","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:02","Resolution notes copied from Parent Incident: All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident.
Incident 'INC0157648' closed based on closure of task 'INC0157651'

All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157647","2025-06-19 07:12:06","SolarWinds ","Critical: Open: ALERT: Current packet loss for SSP Lab Switch is 70 %.Average Response time is 171 ms and is varying from 169 ms to 175 ms.","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:00","Resolution notes copied from Parent Incident: All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident.
Incident 'INC0157647' closed based on closure of task 'INC0157651'

All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157620","2025-06-18 18:09:50","SolarWinds ","Alert for Stockholm - Settings changed","3 - Moderate","Closed","CDNA Stratogent","Sanjay C (C)","2025-06-21 17:00:00","Hi Team,

The changes were done by Rajendran. Hence closing the ticket.

Thank you,
Sanjay C"
"INC0157619","2025-06-18 18:01:40","Microsoft Azure NoReply","Azure: Activated Severity: 0 Vm Availability vm-eis-qa-wus2-1","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-20 19:00:00","Upon validation the server has not reboot and the availability alert was due to discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.

Where the metric shows a downtime, but Resource Health showing ""Available"" status, potentially triggering an alert.

This could happen due to temporary issues within the Azure monitoring or network latency, no further action required hence marking the ticket for closure."
"INC0157618","2025-06-18 17:43:30","SolarWinds ","Critical : Open : Node ""Diane"" IP ""10.100.100.146"" is ""Down""  Alert description: Node ""Diane""  IP ""10.100.100.146""  is DownAlert Generated time  : 6/18/202","2 - High","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-21 04:00:00","Hi Team,

As per John's update, some inadvertent changes were made to the core switch, which impacted routing for certain servers. These changes have since been reverted.

Upon verifying the server is now up and running smoothly, with no packet loss observed.

Best regards,
Mahesh C"
